dataset,split_type,sim_bin,model,n_mean,n_seeds,auroc_mean,auroc_std,auprc_mean,auprc_std,brier_mean,brier_std,f1_mean,f1_std,balanced_acc_mean,balanced_acc_std
chembl,scaffold,0.5-0.7,chemprop_dmnn,266.2,5,0.8283830518138858,0.024053071140134736,0.9079335854858301,0.017651309716915746,0.1613240152534298,0.027134082504887972,0.7857676447791022,0.05250696893940997,0.7447689092378865,0.03190071907052664
chembl,scaffold,0.5-0.7,xgboost,266.2,5,0.7845386242648758,0.0284738025218892,0.8739708798430069,0.030226472083437282,0.1655527293682098,0.012203534628080414,0.7176601398479703,0.06471263279201768,0.7085703280809581,0.03673034325858562
chembl,scaffold,<0.3,chemprop_dmnn,62.2,5,0.614849525442092,0.07931734442700997,0.6394663489988127,0.09210548037369412,0.3044924355329076,0.02421064150288743,0.5544369981822006,0.06377930067885158,0.5869300574367194,0.062115171075894086
chembl,scaffold,<0.3,xgboost,62.2,5,0.5632971385530993,0.07421930116064811,0.5574454367350367,0.09918985923453587,0.27113900482654574,0.03318800163212177,0.43599151599151603,0.08013430015541223,0.5386461463968477,0.03909346593152432
chembl,scaffold,>0.7,chemprop_dmnn,448.0,5,0.8421738094785962,0.012974236823563313,0.9242839098201934,0.009740394383445703,0.1556551374188082,0.019524247654395727,0.8100420832312965,0.037484004123232724,0.7675484129132962,0.020416334166989396
chembl,scaffold,>0.7,xgboost,448.0,5,0.8346207369490882,0.010235396376137124,0.9116808310020266,0.008048970099446051,0.14773333668708796,0.003645936351103942,0.7820557304337702,0.0317495222850601,0.7688937056091552,0.01217261011818961
tdc,cluster,0.3-0.5,chemprop_dmnn,23.0,5,0.6707692307692309,0.03281650616569468,0.8077597891298097,0.016235566138241165,0.24082747719682054,0.00649279827494387,0.5995238095238096,0.03914621698012307,0.54,0.05630380398512404
tdc,cluster,0.3-0.5,xgboost,24.2,5,0.7233674719887955,0.06589250915199962,0.8025521017240405,0.035200072558925016,0.2219413131475448,0.03797167909988493,0.7236466973886329,0.07700805210559751,0.6896124218918336,0.07011040160481921
tdc,cluster,0.5-0.7,chemprop_dmnn,10.0,5,0.9047619047619048,0.0,0.9617346938775512,0.0,0.1214697046865589,0.006166734499382704,0.8852747252747252,0.0727779004308882,0.7904761904761903,0.06388765649999396
tdc,cluster,0.5-0.7,xgboost,9.4,5,0.7821428571428573,0.12433211595034221,0.8567279942279942,0.07359930688312329,0.15005697906017298,0.03828174458022364,0.8298035298035298,0.08945990574744352,0.7398809523809524,0.15212962905457036
tdc,cluster,<0.3,chemprop_dmnn,26.0,5,0.8378698224852069,0.014250407785552997,0.8605903196508621,0.014247972084029269,0.2717729513758549,0.014025819102024195,0.7206722689075631,0.020251926495989322,0.6307692307692307,0.021066252211737146
tdc,cluster,<0.3,xgboost,28.2,5,0.7775372653662128,0.09818138138020943,0.7051952741960481,0.18529478726934043,0.2017773956060409,0.0725381919799212,0.6707857879994102,0.15790415677226372,0.7174772960957172,0.08446292787895336
tdc,cluster,>0.7,chemprop_dmnn,4.0,5,1.0,0.0,1.0,0.0,0.22303393432853524,0.003683885129052381,0.8571428571428571,0.0,0.5,0.0
tdc,cluster,>0.7,xgboost,2.0,3,0.3333333333333333,,0.6944444444444444,,0.32814813653628033,0.3487903713193401,0.8571428571428571,,0.5,
tdc,random,0.3-0.5,chemprop_dmnn,17.0,5,0.8638888888888889,0.03458305443885756,0.8550448933782266,0.03680097938605299,0.1139514388407629,0.004228762721015584,0.7187955182072828,0.1208407711709216,0.7458333333333333,0.08225576455464466
tdc,random,0.3-0.5,xgboost,16.0,5,0.8200000000000001,0.1332957122850553,0.8793779603527503,0.08687257096462943,0.17473475188016888,0.06310504849906558,0.8021904761904761,0.0718807907062962,0.7405952380952381,0.08320398124087006
tdc,random,0.5-0.7,chemprop_dmnn,4.0,5,,,,,0.26439143267975374,0.006655965132327785,,,,
tdc,random,0.5-0.7,xgboost,9.6,5,0.7447916666666667,0.16699187022793124,0.8553199404761904,0.10462471237469063,0.19293693900108333,0.13140100471325802,0.7198183760683761,0.19312578244876072,0.6143353174603174,0.15726709780186196
tdc,random,<0.3,chemprop_dmnn,13.0,5,0.9285714285714286,0.055838282855040826,0.897063492063492,0.08655006619394275,0.11374440227856908,0.017060709563295702,0.8625641025641027,0.056891883344924975,0.8666666666666668,0.06151433658458961
tdc,random,<0.3,xgboost,15.4,5,0.8057431457431459,0.09706460048027794,0.7609062224325382,0.15019441213376614,0.20465880632400507,0.04560488461605438,0.6493040293040293,0.15855086144782754,0.7288600288600288,0.08147160141937981
tdc,random,>0.7,chemprop_dmnn,30.0,5,0.8848,0.010733126291999,0.9766039227632335,0.0028286455130794317,0.13427088094559964,0.028541618835003366,0.7999502239920359,0.07908868655045186,0.8200000000000001,0.024494897427831803
tdc,random,>0.7,xgboost,23.0,5,0.7043321078431373,0.12143102860910893,0.8867797399527936,0.06918797463209865,0.16379603743553156,0.03905372014036689,0.8322456028481853,0.06274649114683156,0.6796650326797387,0.10958039009510645
tdc,scaffold,0.3-0.5,chemprop_dmnn,15.0,5,1.0,0.0,1.0,0.0,0.07494362477942046,0.006265950648608129,0.5776470588235294,0.13003858889605088,0.7083333333333333,0.0721687836487032
tdc,scaffold,0.3-0.5,xgboost,17.0,5,0.6255996472663139,0.16023093184318876,0.8226221001221002,0.09318876055480158,0.21446075141429902,0.050150153917947846,0.7053272604588393,0.12515252127188775,0.5546825396825397,0.12647479699780576
tdc,scaffold,0.5-0.7,chemprop_dmnn,11.0,5,0.8111111111111111,0.03042903097250921,0.9576615359948694,0.007244959473373435,0.12529902756927577,0.009454446417628964,0.7699999999999999,0.02738612787525833,0.6833333333333332,0.13693063937629152
tdc,scaffold,0.5-0.7,xgboost,10.8,5,0.6700148809523809,0.23162836951902738,0.8601121761836048,0.09468383508897633,0.16320241987705228,0.07744250762751048,0.6518181818181817,0.23051638177161074,0.597718253968254,0.18921384363153532
tdc,scaffold,<0.3,chemprop_dmnn,24.0,5,0.7303703703703703,0.009938079899999081,0.742219273101626,0.01759230216172756,0.3231751095906462,0.00908049154794022,0.5627794977640178,0.02612454707903967,0.6511111111111111,0.02788866755113586
tdc,scaffold,<0.3,xgboost,26.2,5,0.7783709334754226,0.056466866320388685,0.6614558346922523,0.11075331975267473,0.2232281118631363,0.04531005678542167,0.6595238095238095,0.095831484749991,0.7281548336424496,0.05999843463329571
tdc,scaffold,>0.7,chemprop_dmnn,13.0,5,0.5333333333333334,0.04564354645876387,0.9552269489769492,0.005705443307345581,0.0806237597459743,0.002672245525013096,0.859288537549407,0.02297935470948397,0.4083333333333334,0.01863389981249826
tdc,scaffold,>0.7,xgboost,9.0,5,0.8858333333333335,0.11325364845729649,0.9657057387057387,0.0352015752099882,0.1076650574803352,0.09080095279485857,0.8300000000000001,0.13560563737871995,0.8641666666666665,0.10238475906544336
