split_type,seed,sim_bin,n,calibration_method,auroc,auprc,f1,balanced_acc,brier,dataset
cluster,55,<0.3,214,sigmoid,0.7018006148440932,0.7259034009759964,0.6872246696035242,0.667413263065437,0.22738470966395274,chembl
cluster,55,>0.7,151,sigmoid,0.8750524109014675,0.9365606865840768,0.8807339449541285,0.7750524109014676,0.13527493908250066,chembl
random,11,0.3-0.5,58,isotonic,0.6901315789473684,0.7743637489027179,0.7222222222222222,0.6421052631578947,0.20668532628928796,chembl
random,11,0.5-0.7,154,isotonic,0.8525993883792049,0.9199219849268744,0.84,0.8075433231396534,0.13447315225198755,chembl
random,11,<0.3,13,isotonic,0.6944444444444444,0.8917378917378918,0.8,0.8333333333333333,0.19360002465991658,chembl
random,11,>0.7,704,isotonic,0.8851336329805229,0.9352674010346315,0.8429035752979415,0.7996278575225944,0.11986565527846546,chembl
random,22,0.3-0.5,45,isotonic,0.7807539682539684,0.8283733203426298,0.7692307692307693,0.7261904761904763,0.26555596935790826,chembl
random,22,0.5-0.7,159,isotonic,0.8869181681681682,0.9465393790677217,0.8269230769230769,0.7728040540540541,0.12761385372940282,chembl
random,22,<0.3,19,isotonic,0.6193181818181819,0.7876623376623377,0.5454545454545454,0.4602272727272727,0.3188646191242144,chembl
random,22,>0.7,706,isotonic,0.8793015122407765,0.9417117150133306,0.8449197860962567,0.8040244322939757,0.1267971305049156,chembl
random,33,0.3-0.5,70,isotonic,0.7186588921282799,0.843383422294502,0.7415730337078652,0.6700680272108843,0.19692589759845505,chembl
random,33,0.5-0.7,161,isotonic,0.8091034960193838,0.8934527929199576,0.7755102040816326,0.7347698165455174,0.16998137587798837,chembl
random,33,<0.3,13,isotonic,0.44047619047619047,0.5366744366744367,0.5,0.5357142857142857,0.34046988462736655,chembl
random,33,>0.7,685,isotonic,0.8533450189891908,0.926501495292384,0.8349726775956284,0.7783481490755811,0.13787274874013258,chembl
random,44,0.3-0.5,47,isotonic,0.5970695970695972,0.6069131266957354,0.6666666666666666,0.6080586080586081,0.3074221500955968,chembl
random,44,0.5-0.7,160,isotonic,0.7867086193745231,0.8939506995836457,0.7962962962962963,0.7032799389778794,0.1667444162581854,chembl
random,44,<0.3,24,isotonic,0.6840277777777779,0.653551963334572,0.72,0.7083333333333333,0.28346638531129,chembl
random,44,>0.7,698,isotonic,0.8683648704444065,0.9338222397155209,0.8272138228941684,0.7732147712510449,0.13074984542233142,chembl
random,55,0.3-0.5,51,isotonic,0.859472049689441,0.888672104069533,0.723404255319149,0.7600931677018633,0.16134396993671585,chembl
random,55,0.5-0.7,138,isotonic,0.8788031179280864,0.9265710828004642,0.8444444444444444,0.806386723661051,0.12623342198614487,chembl
random,55,<0.3,27,isotonic,0.8379120879120879,0.8427224736048265,0.6666666666666666,0.7335164835164836,0.17804247768460987,chembl
random,55,>0.7,713,isotonic,0.8869639376218322,0.9475664994554822,0.8444444444444444,0.8063888888888888,0.12102910788088668,chembl
scaffold,11,0.3-0.5,151,isotonic,0.7583184257602863,0.758806992106692,0.7096774193548387,0.7120751341681575,0.2095654022644629,chembl
scaffold,11,0.5-0.7,268,isotonic,0.7840826566316763,0.8673401458484198,0.7070063694267515,0.698026011751502,0.16653075508875806,chembl
scaffold,11,<0.3,84,isotonic,0.7132523148148148,0.7088420730775742,0.5974025974025974,0.65625,0.21431881697735636,chembl
scaffold,11,>0.7,426,isotonic,0.8116819845679825,0.8891554499934102,0.7600767754318618,0.7366154899533879,0.1501880288469991,chembl
scaffold,22,0.3-0.5,175,isotonic,0.7490817263544536,0.8388015748528062,0.7465437788018433,0.6958218549127639,0.17397509669873976,chembl
scaffold,22,0.5-0.7,275,isotonic,0.8549897305787121,0.9138834042216477,0.7547169811320755,0.7551649148242117,0.143768354704922,chembl
scaffold,22,<0.3,55,isotonic,0.5312500000000001,0.6496134309965447,0.5423728813559322,0.5108695652173914,0.2698133351468795,chembl
scaffold,22,>0.7,424,isotonic,0.846480231436837,0.9211436216174637,0.7885714285714286,0.7847224135555861,0.14194977812431814,chembl
scaffold,33,0.3-0.5,140,isotonic,0.6958440999138674,0.7518050309322534,0.7195121951219512,0.6670973298880276,0.22472068328575334,chembl
scaffold,33,0.5-0.7,260,isotonic,0.8279718137254902,0.9142815443896839,0.8319088319088319,0.7846200980392157,0.13747434432126998,chembl
scaffold,33,<0.3,59,isotonic,0.6013824884792627,0.66981299954512,0.5283018867924528,0.5829493087557603,0.28091037317033585,chembl
scaffold,33,>0.7,470,isotonic,0.8477005615040125,0.9261303219423076,0.8123980424143556,0.7759553524744822,0.13453046232912994,chembl
scaffold,44,0.3-0.5,148,isotonic,0.7170833333333333,0.7951044729978263,0.81,0.7070833333333333,0.19339718066120432,chembl
scaffold,44,0.5-0.7,265,isotonic,0.8215686274509805,0.8870756671271354,0.8268156424581006,0.734640522875817,0.15544014331806127,chembl
scaffold,44,<0.3,59,isotonic,0.6875,0.6650101415911082,0.631578947368421,0.6458333333333333,0.2643524276232495,chembl
scaffold,44,>0.7,457,isotonic,0.8534924845269672,0.9116729364703207,0.8529886914378029,0.7748010610079575,0.1435845001559283,chembl
scaffold,55,0.3-0.5,149,isotonic,0.6913255360623781,0.7655442770887845,0.743455497382199,0.6422027290448343,0.2181616300698909,chembl
scaffold,55,0.5-0.7,263,isotonic,0.8320355191256829,0.8920844395003538,0.8023952095808383,0.759870218579235,0.1453601471561566,chembl
scaffold,55,<0.3,54,isotonic,0.5409722222222223,0.4646450459392141,0.46511627906976744,0.5583333333333333,0.29071327148375387,chembl
scaffold,55,>0.7,463,isotonic,0.8360533795186074,0.9098986438959356,0.8195615514333895,0.7814748201438849,0.1484370066903141,chembl
