dataset,split_type,seed,sim_bin,n,auroc,auprc,f1,balanced_acc,brier
chembl,random,55,>0.7,713,0.8816520467836257,0.9409198553856472,0.8366701791359326,0.7894395711500974,0.12232627719640732
chembl,scaffold,11,<0.3,84,0.6446759259259258,0.6483419603249205,0.4444444444444444,0.5555555555555556,0.23510421812534332
chembl,scaffold,11,0.3-0.5,151,0.651788908765653,0.7018271176615575,0.6111111111111112,0.6481216457960643,0.24726726114749908
chembl,scaffold,11,0.5-0.7,268,0.7545388525780683,0.8517777235558116,0.6644295302013423,0.6906318082788672,0.1743497997522354
chembl,scaffold,11,>0.7,426,0.8213467463724226,0.8983853466304543,0.7602339181286549,0.75128380691544,0.1528613269329071
chembl,scaffold,22,<0.3,55,0.5475543478260869,0.6273957945917601,0.5384615384615384,0.5883152173913043,0.2597809135913849
chembl,scaffold,22,0.3-0.5,175,0.6483011937557392,0.7953645647556002,0.6666666666666666,0.6277165595347414,0.2089022994041443
chembl,scaffold,22,0.5-0.7,275,0.7990515887398816,0.8732859045261049,0.7613293051359517,0.731968104385647,0.16539831459522247
chembl,scaffold,22,>0.7,424,0.8305551728888276,0.9158537900129194,0.7817836812144212,0.7704780272764844,0.14679712057113647
chembl,scaffold,33,<0.3,59,0.5858294930875576,0.5776722547983296,0.4727272727272727,0.5132488479262672,0.2625851631164551
chembl,scaffold,33,0.3-0.5,140,0.716838931955211,0.7832038869207055,0.6753246753246753,0.6541774332472007,0.20784588158130646
chembl,scaffold,33,0.5-0.7,260,0.8037683823529412,0.9047127322385144,0.7931034482758621,0.7270220588235294,0.14967669546604156
chembl,scaffold,33,>0.7,470,0.8390847711927982,0.9173062123522924,0.8206785137318255,0.7794107617813544,0.14349347352981567
chembl,scaffold,44,<0.3,59,0.5925925925925926,0.5354516961844102,0.32432432432432434,0.5486111111111112,0.2732272744178772
chembl,scaffold,44,0.3-0.5,148,0.6079166666666667,0.7256913446508036,0.5641025641025641,0.595,0.216623455286026
chembl,scaffold,44,0.5-0.7,265,0.7530392156862745,0.836981701496349,0.6391752577319587,0.6524509803921569,0.18012577295303345
chembl,scaffold,44,>0.7,457,0.8489168877099911,0.9097415673536909,0.7427466150870407,0.7628647214854112,0.14575475454330444
chembl,scaffold,55,<0.3,54,0.4458333333333333,0.3983654777757625,0.4,0.4875,0.3249974548816681
chembl,scaffold,55,0.3-0.5,149,0.6605263157894737,0.7325230334522216,0.5975609756097561,0.5727095516569201,0.22110238671302795
chembl,scaffold,55,0.5-0.7,263,0.8122950819672131,0.9030963373982552,0.7302631578947368,0.7407786885245902,0.1582130640745163
chembl,scaffold,55,>0.7,463,0.8332001065814015,0.9171172386607768,0.8048359240069085,0.7804312105870859,0.14976000785827637
chembl,cluster,11,<0.3,221,0.5834293236794471,0.6083480076186492,0.48,0.5383412868191542,0.25760751962661743
chembl,cluster,11,0.3-0.5,347,0.6394264127669416,0.7641592502676338,0.6915887850467289,0.6182638192891836,0.20845507085323334
chembl,cluster,11,0.5-0.7,218,0.8268325081511895,0.9267791225727103,0.8,0.7674797729742785,0.14052318036556244
chembl,cluster,11,>0.7,143,0.8631037780966045,0.923265111129291,0.8,0.7797704447632712,0.13245995342731476
chembl,cluster,22,<0.3,211,0.593161231884058,0.62739363701163,0.5,0.5576539855072463,0.2494320124387741
chembl,cluster,22,0.3-0.5,354,0.6413934426229507,0.7748223761736917,0.6666666666666666,0.6162071535022355,0.21070459485054016
chembl,cluster,22,0.5-0.7,228,0.7767197823552272,0.8879135729307526,0.743859649122807,0.7144383987563155,0.17015857994556427
chembl,cluster,22,>0.7,136,0.8306737588652481,0.9001795066264517,0.7757575757575758,0.7570921985815603,0.15672063827514648
chembl,cluster,33,<0.3,218,0.578082884097035,0.5676074078302886,0.48677248677248675,0.5591307277628033,0.2702590227127075
chembl,cluster,33,0.3-0.5,353,0.6042553191489362,0.7285986904114345,0.5816326530612245,0.5603498016588532,0.21840721368789673
chembl,cluster,33,0.5-0.7,213,0.7761941448382127,0.8774086442698088,0.6987951807228916,0.714670922298041,0.16967462003231049
chembl,cluster,33,>0.7,145,0.861984052532833,0.9308876281487081,0.7586206896551724,0.7685272045028142,0.13340748846530914
chembl,cluster,44,<0.3,223,0.6343531894173023,0.6546676381812773,0.5488372093023256,0.5734864470053562,0.24182318150997162
chembl,cluster,44,0.3-0.5,332,0.6775129403907163,0.8010593158104244,0.6835443037974683,0.6382952078811154,0.20544123649597168
chembl,cluster,44,0.5-0.7,220,0.7763020833333334,0.8810198377287889,0.7902097902097902,0.7447916666666667,0.16268588602542877
chembl,cluster,44,>0.7,154,0.820839133028435,0.8974630931673017,0.7807486631016043,0.7666534102207199,0.1479688137769699
chembl,cluster,55,<0.3,214,0.5849363197189285,0.6042801028105687,0.5818181818181818,0.5711901624945104,0.2599720358848572
chembl,cluster,55,0.3-0.5,333,0.6031294156761698,0.7369323722894573,0.6666666666666666,0.5583700440528634,0.2210155874490738
chembl,cluster,55,0.5-0.7,231,0.8016836734693877,0.9117762265216558,0.8125,0.7375,0.15017591416835785
chembl,cluster,55,>0.7,151,0.8461215932914047,0.9241128051972247,0.7978723404255319,0.7759958071278825,0.14379142224788666
