split_type,seed,sim_bin,n,auroc,auprc,f1,balanced_acc,brier
cluster,11,0.3-0.5,23,0.7,0.7471930243669374,0.72,0.6961538461538461,0.25540974736213684
cluster,11,0.5-0.7,10,0.9523809523809524,0.9682539682539683,0.9230769230769231,0.9285714285714286,0.09930834174156189
cluster,11,>0.7,4,0.3333333333333333,0.6944444444444444,0.8571428571428571,0.5,0.28999999165534973
cluster,22,<0.3,30,0.8035714285714286,0.8256944444444445,0.7647058823529411,0.7276785714285714,0.18495891988277435
cluster,22,0.3-0.5,23,0.6785714285714286,0.7975237323063411,0.75,0.5892857142857143,0.22569312155246735
cluster,22,0.5-0.7,9,0.6666666666666667,0.7678571428571429,0.7692307692307693,0.5833333333333334,0.18698619306087494
cluster,22,>0.7,1,,,,,0.0
cluster,33,<0.3,30,0.8080357142857143,0.7115079365079364,0.6666666666666666,0.7232142857142857,0.18904829025268555
cluster,33,0.3-0.5,24,0.6666666666666667,0.8285493827160494,0.6428571428571429,0.6666666666666667,0.261535108089447
cluster,33,0.5-0.7,8,0.7083333333333334,0.8373015873015873,0.8333333333333334,0.6666666666666667,0.1597222238779068
cluster,33,>0.7,1,,,,,0.6944444179534912
cluster,44,<0.3,25,0.6071428571428572,0.3834321096859796,0.4,0.5753968253968254,0.321687251329422
cluster,44,0.3-0.5,27,0.8294117647058823,0.8370542368994381,0.6666666666666666,0.7147058823529412,0.17594105005264282
cluster,44,0.5-0.7,11,0.7083333333333334,0.8768939393939394,0.7142857142857143,0.6458333333333333,0.18230633437633514
cluster,55,<0.3,30,0.8612440191387559,0.7916666666666666,0.7368421052631579,0.7918660287081339,0.12387606501579285
cluster,55,0.3-0.5,24,0.7421875,0.8024401323314367,0.8387096774193549,0.78125,0.19112753868103027
cluster,55,0.5-0.7,9,0.875,0.8333333333333334,0.9090909090909091,0.875,0.1219618022441864
