assay_chembl_id,canonical_smiles,data_validity_comment,molecule_chembl_id,pchembl_value,relation,src_id,standard_relation,standard_type,standard_units,standard_value,type,units,value
CHEMBL824627,CC(C(=O)NC1(c2ccccc2)CCC(N2CCC3(CCOC3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,,CHEMBL3085127,6.15,=,1,=,Ki,nM,710.0,Ki,nM,710.0
CHEMBL824627,CC(C(=O)NC1(c2ccccc2)CCC(N2CCC(C3CCOC3=O)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,,CHEMBL3085133,6.31,=,1,=,Ki,nM,490.0,Ki,nM,490.0
CHEMBL824627,CC(C(=O)N[C@]1(c2ccccc2)CC[C@H](N2CCC(C3CCOC3(C)C)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,,CHEMBL3085131,5.66,=,1,=,Ki,nM,2200.0,Ki,nM,2200.0
CHEMBL824627,CC(C(=O)NC1(c2ccccc2)CCC(N2CCC(C3CCC(=O)O3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,,CHEMBL3085126,6.40,=,1,=,Ki,nM,400.0,Ki,nM,400.0
CHEMBL824627,CC(C(=O)N[C@]1(c2ccccc2)CC[C@H](N(C)C)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,,CHEMBL3085125,5.72,=,1,=,Ki,nM,1900.0,Ki,nM,1900.0
CHEMBL768689,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(F)c(F)c2)CC1,,CHEMBL22359,5.23,=,1,=,Ki,nM,5900.0,Ki,nM,5900.0
CHEMBL768689,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1,,CHEMBL22679,4.40,=,1,=,Ki,nM,40000.0,Ki,nM,40000.0
CHEMBL768689,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2cccc3ccccc23)CC1,,CHEMBL3084949,4.66,=,1,=,Ki,nM,22000.0,Ki,nM,22000.0
CHEMBL768689,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)cc2F)CC1,,CHEMBL25437,4.46,=,1,=,Ki,nM,35000.0,Ki,nM,35000.0
CHEMBL768689,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1,,CHEMBL23979,5.24,=,1,=,Ki,nM,5700.0,Ki,nM,5700.0
CHEMBL768689,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(I)cc2)CC1,,CHEMBL3084953,5.72,=,1,=,Ki,nM,1900.0,Ki,nM,1900.0
CHEMBL768689,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)c2cccc3ccccc23)CC1,,CHEMBL3084944,4.77,=,1,=,Ki,nM,17000.0,Ki,nM,17000.0
CHEMBL768689,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1,,CHEMBL25211,5.55,=,1,=,Ki,nM,2800.0,Ki,nM,2800.0
CHEMBL816205,COc1cccc([C@H](O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC,,CHEMBL74355,5.96,=,1,=,Ki,nM,1100.0,Ki,nM,1100.0
CHEMBL816205,Fc1ccc(CCN2CCC3(CCc4ccccc4C3)CC2)c(F)c1,,CHEMBL150210,7.16,=,1,=,Ki,nM,69.0,Ki,nM,69.0
CHEMBL816205,N#Cc1ccc(S(=O)(=O)C2CCN(CCc3ccc(F)cc3F)CC2)cc1,,CHEMBL150220,6.25,=,1,=,Ki,nM,560.0,Ki,nM,560.0
CHEMBL820996,CC(C)(O)c1ccc(C(Cc2ccc[n+]([O-])c2)c2ccc(OC(F)F)c(OC3CC3)c2)cn1,,CHEMBL78439,4.38,=,1,=,Ki,nM,42200.0,Ki,uM,42.2
CHEMBL820996,CC(C)(O)c1ncc(C(Cc2cc[n+]([O-])cc2)c2ccc(OC(F)F)c(OC3CCC3)c2)s1,,CHEMBL310303,4.23,=,1,=,Ki,nM,58400.0,Ki,uM,58.4
CHEMBL820996,[O-][n+]1ccc(CC(c2ccc(OC(F)F)c(OC3CC3)c2)c2cnc(C(O)(C(F)(F)F)C(F)(F)F)s2)cc1,,CHEMBL2112296,4.68,=,1,=,Ki,nM,21000.0,Ki,uM,21.0
CHEMBL816205,O=S(=O)(c1ccccc1)C1CCN(CCc2ccc(F)cc2F)CC1,,CHEMBL145939,6.00,=,1,=,Ki,nM,1000.0,Ki,nM,1000.0
CHEMBL816205,Fc1ccc2c([C@@H]3CNCC[C@H]3F)c(-c3ccccc3)[nH]c2c1,,CHEMBL504699,5.40,=,1,=,Ki,nM,4000.0,Ki,nM,4000.0
CHEMBL820996,CC(C)(O)c1ccc(C(Cc2cc[n+]([O-])cc2)c2ccc(OC(F)F)c(OC3CCC3)c2)cn1,,CHEMBL78806,4.60,=,1,=,Ki,nM,25000.0,Ki,uM,25.0
CHEMBL820996,CC(C)(O)c1ccc(C(Cc2cc[n+]([O-])cc2)c2ccc(OC(F)F)c(OC3CC3)c2)cn1,,CHEMBL276559,4.58,=,1,=,Ki,nM,26400.0,Ki,uM,26.4
CHEMBL816205,NC(=O)c1ccc(S(=O)(=O)C2CCN(CCc3ccc(F)cc3F)CC2)cc1,,CHEMBL148058,5.89,=,1,=,Ki,nM,1300.0,Ki,nM,1300.0
CHEMBL816205,N#Cc1cccc(S(=O)(=O)C2CCN(CCc3ccc(F)cc3F)CC2)c1,,CHEMBL147048,5.72,=,1,=,Ki,nM,1900.0,Ki,nM,1900.0
CHEMBL820996,[O-][n+]1ccc(CC(c2ccc(OC(F)F)c(OC3CCC3)c2)c2cnc(C(O)(C(F)(F)F)C(F)(F)F)s2)cc1,,CHEMBL2112295,4.42,=,1,=,Ki,nM,38100.0,Ki,uM,38.1
CHEMBL816205,OC1c2ccccc2CCC12CCN(CCc1ccccc1)CC2,,CHEMBL146144,5.92,=,1,=,Ki,nM,1200.0,Ki,nM,1200.0
CHEMBL816205,O=S(=O)(c1ccc(F)cc1)C1CCN(CCc2ccc(F)cc2F)CC1,,CHEMBL358075,6.15,=,1,=,Ki,nM,710.0,Ki,nM,710.0
CHEMBL816205,O=S1(=O)c2cccc3cccc(c23)N1CCCN1CCN(c2ccc(F)cc2)CC1,,CHEMBL83894,6.70,=,1,=,Ki,nM,200.0,Ki,nM,200.0
CHEMBL820996,CC(O)(c1ccccc1)c1ccc(C(Cc2cc[n+]([O-])cc2)c2ccc(OC(F)F)c(OC(F)F)c2)cn1,,CHEMBL61191,5.93,=,1,=,Ki,nM,1180.0,Ki,uM,1.18
CHEMBL820996,CC(C)(O)c1ccc(C(CC2=CCC(=O)N=C2)c2ccc(OC(F)F)c(OC3CC3)c2)cn1,,CHEMBL81491,4.25,=,1,=,Ki,nM,55900.0,Ki,uM,55.9
CHEMBL820996,CC(C)(O)c1ccc(C(Cc2ccc[n+]([O-])c2)c2ccc(OC(F)F)c(OC3CC3)c2)cn1,,CHEMBL78439,4.35,=,1,=,Ki,nM,44700.0,Ki,uM,44.7
CHEMBL820996,[O-][n+]1cccc(C[C@H](c2ccc(OC(F)F)c(OC3CC3)c2)c2cnc(C(O)(C(F)(F)F)C(F)(F)F)s2)c1,,CHEMBL383762,4.41,=,1,=,Ki,nM,39000.0,Ki,uM,39.0
CHEMBL816205,O=S1(=O)c2ccccc2CCC12CCN(CCc1ccc(F)cc1F)CC2,,CHEMBL146595,6.24,=,1,=,Ki,nM,570.0,Ki,nM,570.0
CHEMBL820996,CC(C)(O)c1ccc(C(Cc2cc[n+]([O-])cc2)c2ccc(OC(F)F)c(OC3CC3)c2)cn1,,CHEMBL276559,4.38,=,1,=,Ki,nM,41500.0,Ki,uM,41.5
CHEMBL816205,O=S(=O)(c1ccccc1)C1CCN(CCCc2ccccc2)CC1,,CHEMBL148565,5.60,=,1,=,Ki,nM,2500.0,Ki,nM,2500.0
CHEMBL820996,CC(C)(O)c1ccc(C(Cc2cc[n+]([O-])cc2)c2ccc(OC(F)F)c(OC3CCC3)c2)cc1,,CHEMBL2112294,4.65,=,1,=,Ki,nM,22400.0,Ki,uM,22.4
CHEMBL820996,CC(C)(O)c1ccc(C(Cc2cc[n+]([O-])cc2)c2ccc(OC(F)F)c(OC(F)F)c2)cn1,,CHEMBL417776,4.64,=,1,=,Ki,nM,22700.0,Ki,uM,22.7
CHEMBL816205,Fc1ccc(CCN2CCC3(CCc4ccccc4O3)CC2)c(F)c1,,CHEMBL147431,6.96,=,1,=,Ki,nM,110.0,Ki,nM,110.0
CHEMBL816205,O=C(CN1CCC(S(=O)(=O)c2ccccc2)CC1)c1ccc(F)cc1,,CHEMBL146620,5.17,=,1,=,Ki,nM,6800.0,Ki,nM,6800.0
CHEMBL816205,NC(=O)c1cccc(S(=O)(=O)C2CCN(CCc3ccc(F)cc3F)CC2)c1,,CHEMBL146485,5.15,=,1,=,Ki,nM,7143.0,Ki,nM,7143.0
CHEMBL820996,[O-][n+]1cccc(C[C@@H](c2ccc(OC(F)F)c(OC3CC3)c2)c2cnc(C(O)(C(F)(F)F)C(F)(F)F)s2)c1,,CHEMBL199015,4.21,=,1,=,Ki,nM,61400.0,Ki,uM,61.4
CHEMBL816205,O=S(=O)(c1ccc(Cl)cc1)C1CCN(CCc2ccc(F)cc2F)CC1,,CHEMBL149429,6.82,=,1,=,Ki,nM,150.0,Ki,nM,150.0
CHEMBL816205,COc1ccc2c(c1)CCC1(CCN(CCc3ccc(F)cc3F)CC1)O2,,CHEMBL146233,7.70,=,1,=,Ki,nM,20.0,Ki,nM,20.0
CHEMBL816205,N#Cc1ccccc1S(=O)(=O)C1CCN(CCc2ccc(F)cc2F)CC1,,CHEMBL146998,5.40,=,1,=,Ki,nM,4000.0,Ki,nM,4000.0
CHEMBL820996,CC(C)(O)c1ccc(C(Cc2cc[n+]([O-])cc2)c2ccc(OC(F)F)c(OC(F)F)c2)cn1,,CHEMBL417776,4.59,=,1,=,Ki,nM,25400.0,Ki,uM,25.4
CHEMBL816205,O=S(=O)(c1ccccc1)C1CCN(CCc2ccccc2)CC1,,CHEMBL148280,5.75,=,1,=,Ki,nM,1800.0,Ki,nM,1800.0
CHEMBL768699,Fc1ccc2c([C@@H]3CNCC[C@H]3F)c(-c3cccc4ccccc34)[nH]c2c1,,CHEMBL496687,6.96,=,1,=,Ki,nM,110.0,Ki,nM,110.0
CHEMBL768699,Fc1ccc2c([C@@H]3CNCC[C@H]3F)c(C3CCCCC3)[nH]c2c1,,CHEMBL507898,5.27,=,1,=,Ki,nM,5400.0,Ki,nM,5400.0
CHEMBL768699,F[C@@H]1CCNC[C@H]1c1c(-c2ccccc2)[nH]c2c(Cl)cccc12,,CHEMBL523585,5.68,=,1,=,Ki,nM,2100.0,Ki,nM,2100.0
CHEMBL768699,c1ccc(-c2[nH]c3ccccc3c2C2CCNCC2)cc1,,CHEMBL295559,5.24,=,1,=,Ki,nM,5700.0,Ki,nM,5700.0
CHEMBL768699,Fc1ccc2c([C@@H]3CNCC[C@H]3F)c(-c3ccsc3)[nH]c2c1,,CHEMBL497054,5.82,=,1,=,Ki,nM,1500.0,Ki,nM,1500.0
CHEMBL768699,COC(=O)c1[nH]c2cc(F)ccc2c1[C@@H]1CNCC[C@H]1F,,CHEMBL507727,5.09,=,1,=,Ki,nM,8200.0,Ki,nM,8200.0
CHEMBL768699,Fc1ccc(-c2[nH]c3cc(F)ccc3c2C2CCCNC2)cc1,,CHEMBL296512,5.89,=,1,=,Ki,nM,1300.0,Ki,nM,1300.0
CHEMBL768699,Fc1ccc2c([C@@H]3CNCC[C@H]3F)c(-c3ccc4ccccc4c3)[nH]c2c1,,CHEMBL496860,6.30,=,1,=,Ki,nM,500.0,Ki,nM,500.0
CHEMBL768699,c1ccc(CCN2CCCC(c3c(-c4ccccc4)[nH]c4ccccc34)C2)cc1,,CHEMBL44310,6.28,=,1,=,Ki,nM,530.0,Ki,nM,530.0
CHEMBL768699,Fc1cccc2c([C@@H]3CNCC[C@H]3F)c(-c3ccccc3)[nH]c12,,CHEMBL498729,5.52,=,1,=,Ki,nM,3000.0,Ki,nM,3000.0
CHEMBL768699,Fc1ccc2c([C@@H]3CNCC[C@H]3F)c(-c3ccccc3)[nH]c2c1,,CHEMBL504699,5.40,=,1,=,Ki,nM,4000.0,Ki,nM,4000.0
CHEMBL768699,Fc1ccc(-c2[nH]c3cc(F)ccc3c2[C@@H]2CNCC[C@H]2F)cc1,,CHEMBL523245,5.80,=,1,=,Ki,nM,1600.0,Ki,nM,1600.0
CHEMBL768699,Fc1ccc2c([C@@H]3CNCC[C@H]3F)c(-c3cccnc3)[nH]c2c1,,CHEMBL523760,5.60,=,1,=,Ki,nM,2500.0,Ki,nM,2500.0
CHEMBL768699,c1ccc(CCN2[C@@H]3CC[C@H]2CC(c2c(-c4ccccc4)[nH]c4ccccc24)C3)cc1,,CHEMBL2113667,7.75,=,1,=,Ki,nM,18.0,Ki,nM,18.0
CHEMBL768699,c1ccc(CCN2CCC(c3c(-c4ccccc4)[nH]c4ccccc34)CC2)cc1,,CHEMBL40584,7.10,=,1,=,Ki,nM,80.0,Ki,nM,80.0
CHEMBL768699,CN1CCCC(c2c(-c3ccccc3)[nH]c3ccccc23)C1,,CHEMBL43819,5.02,=,1,=,Ki,nM,9600.0,Ki,nM,9600.0
CHEMBL768699,c1ccc(CN2CCCC(c3c(-c4ccccc4)[nH]c4ccccc34)C2)cc1,,CHEMBL46523,6.54,=,1,=,Ki,nM,290.0,Ki,nM,290.0
CHEMBL768699,CN1CCCCC1c1c(-c2ccccc2)[nH]c2ccccc12,,CHEMBL43697,5.16,=,1,=,Ki,nM,7000.0,Ki,nM,7000.0
CHEMBL768699,F[C@@H]1CCNC[C@H]1c1c(-c2ccccc2)[nH]c2cc(Cl)ccc12,,CHEMBL498048,5.85,=,1,=,Ki,nM,1400.0,Ki,nM,1400.0
CHEMBL768699,c1ccc(-c2[nH]c3ccccc3c2C2CCCNC2)cc1,,CHEMBL42557,5.31,=,1,=,Ki,nM,4900.0,Ki,nM,4900.0
CHEMBL768699,O=C(Nc1ccccc1)c1[nH]c2cc(F)ccc2c1[C@@H]1CNCC[C@H]1F,,CHEMBL497064,6.03,=,1,=,Ki,nM,930.0,Ki,nM,930.0
CHEMBL682313,N[C@H](C(=O)N1CC[C@H](F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)cc2F)CC1,,CHEMBL22310,4.31,=,1,=,Ki,nM,49000.0,Ki,nM,49000.0
CHEMBL682313,N[C@H](C(=O)N1CCSC1)C1CCCCC1,,CHEMBL23223,4.55,=,1,=,Ki,nM,28000.0,Ki,nM,28000.0
CHEMBL682313,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(F)c(F)c2)CC1,,CHEMBL22359,5.23,=,1,=,Ki,nM,5900.0,Ki,nM,5900.0
CHEMBL682313,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)cc2F)CC1,,CHEMBL25437,4.46,=,1,=,Ki,nM,35000.0,Ki,nM,35000.0
CHEMBL682313,N[C@H](C(=O)N1CC[C@@H](F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1,,CHEMBL281561,5.22,=,1,=,Ki,nM,6000.0,Ki,nM,6000.0
CHEMBL682313,N[C@H](C(=O)N1CC[C@@H](F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)cc2F)CC1,,CHEMBL283309,4.28,=,1,=,Ki,nM,52000.0,Ki,nM,52000.0
CHEMBL682313,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)c2ccc(F)c(F)c2)CC1,,CHEMBL278558,4.54,=,1,=,Ki,nM,29000.0,Ki,nM,29000.0
CHEMBL682313,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccccc2C(F)(F)F)CC1,,CHEMBL283368,4.41,=,1,=,Ki,nM,39000.0,Ki,nM,39000.0
CHEMBL682313,N[C@H](C(=O)N1CC[C@@H](F)C1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1,,CHEMBL277693,4.37,=,1,=,Ki,nM,43000.0,Ki,nM,43000.0
CHEMBL682313,N[C@H](C(=O)N1CC[C@H](F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1,,CHEMBL281178,5.26,=,1,=,Ki,nM,5500.0,Ki,nM,5500.0
CHEMBL682313,N[C@H](C(=O)N1CCC(F)(F)C1)[C@H]1CC[C@H](NC(=O)c2ccc(F)c(F)c2)CC1,,CHEMBL23110,4.80,=,1,=,Ki,nM,16000.0,Ki,nM,16000.0
CHEMBL682313,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1,,CHEMBL23979,5.24,=,1,=,Ki,nM,5700.0,Ki,nM,5700.0
CHEMBL682313,N[C@H](C(=O)N1CCC(F)(F)C1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1,,CHEMBL279944,4.38,=,1,=,Ki,nM,42000.0,Ki,nM,42000.0
CHEMBL682313,N[C@H](C(=O)N1CC[C@H](F)C1)[C@H]1CC[C@H](NC(=O)c2ccc(F)c(F)c2)CC1,,CHEMBL23660,4.72,=,1,=,Ki,nM,19000.0,Ki,nM,19000.0
CHEMBL682313,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1,,CHEMBL22679,4.40,=,1,=,Ki,nM,40000.0,Ki,nM,40000.0
CHEMBL682313,N[C@H](C(=O)N1CC[C@@H](F)C1)[C@H]1CC[C@H](NC(=O)c2ccc(F)c(F)c2)CC1,,CHEMBL23924,4.14,=,1,=,Ki,nM,73000.0,Ki,nM,73000.0
CHEMBL682313,N[C@H](C(=O)N1CCC(F)(F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1,,CHEMBL423108,5.28,=,1,=,Ki,nM,5300.0,Ki,nM,5300.0
CHEMBL682313,N[C@H](C(=O)N1CC[C@H](F)C1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1,,CHEMBL23891,4.43,=,1,=,Ki,nM,37000.0,Ki,nM,37000.0
CHEMBL682313,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1,,CHEMBL25211,5.55,=,1,=,Ki,nM,2800.0,Ki,nM,2800.0
CHEMBL766816,O=C1NCCN1CCN1CCC(c2cn(-c3ccccc3)c3ccc(Cl)cc23)CC1,,CHEMBL443476,7.06,=,1,=,IC50,nM,88.0,IC50,nM,88.0
CHEMBL766816,O=C1NCCN1CCN1CCC(c2cn(C3CCCCC3)c3ccc(Cl)cc23)CC1,,CHEMBL53661,6.86,=,1,=,IC50,nM,137.0,IC50,nM,137.0
CHEMBL766816,CCC(CC)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,,CHEMBL299390,5.83,=,1,=,IC50,nM,1480.0,IC50,nM,1480.0
CHEMBL766816,O=C1NCCN1CCN1CC=C(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,,CHEMBL12186,8.00,=,1,=,IC50,nM,10.0,IC50,nM,10.0
CHEMBL766816,O=C1NCCN1CCN1CCC(C2CN(c3ccc(F)cc3)c3ccccc32)CC1,,CHEMBL556312,7.63,=,1,=,IC50,nM,23.5,IC50,nM,23.5
CHEMBL766816,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,,CHEMBL1729,7.35,=,1,=,IC50,nM,45.0,IC50,nM,45.0
CHEMBL766816,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,,CHEMBL6966,6.84,=,1,=,IC50,nM,143.0,IC50,nM,143.0
CHEMBL766816,O=C(O)Cc1ccc(-n2cc(C3CCN(CCN4CCNC4=O)CC3)c3cc(Cl)ccc32)cc1,,CHEMBL55835,6.24,=,1,=,IC50,nM,579.0,IC50,nM,579.0
CHEMBL766816,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,,CHEMBL17157,7.25,=,1,=,IC50,nM,56.0,IC50,nM,56.0
CHEMBL766816,Fc1ccc(-n2cc(C3CCN(CCN4CCN=C4S)CC3)c3ccccc32)cc1,,CHEMBL298978,8.21,=,1,=,IC50,nM,6.2,IC50,nM,6.2
CHEMBL766816,CCC(O)(CC)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,,CHEMBL53871,4.80,=,1,=,IC50,nM,15700.0,IC50,nM,15700.0
CHEMBL766816,O=C(O)c1ccc(-n2cc(C3CCN(CCN4CCNC4=O)CC3)c3cc(Cl)ccc32)cc1,,CHEMBL300927,4.12,=,1,=,IC50,nM,75000.0,IC50,nM,75000.0
CHEMBL766816,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,,CHEMBL473,8.00,=,1,=,IC50,nM,10.0,IC50,nM,10.0
CHEMBL766816,CCCc1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,,CHEMBL52348,4.58,=,1,=,IC50,nM,26000.0,IC50,nM,26000.0
CHEMBL766816,CCC(O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,,CHEMBL53866,5.66,=,1,=,IC50,nM,2200.0,IC50,nM,2200.0
CHEMBL766816,CN(C)Cc1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,,CHEMBL301956,7.96,=,1,=,IC50,nM,11.0,IC50,nM,11.0
CHEMBL766816,CCC(=O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,,CHEMBL53321,5.71,=,1,=,IC50,nM,1947.0,IC50,nM,1947.0
CHEMBL766816,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,,CHEMBL914,4.64,=,1,=,IC50,nM,23000.0,IC50,nM,23000.0
CHEMBL766816,CC(O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,,CHEMBL52794,5.34,=,1,=,IC50,nM,4550.0,IC50,nM,4550.0
CHEMBL766816,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,,CHEMBL54,7.50,=,1,=,IC50,nM,32.0,IC50,nM,32.0
CHEMBL766816,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccccc23)CC1,,CHEMBL12780,8.15,=,1,=,IC50,nM,7.0,IC50,nM,7.0
CHEMBL766816,CCc1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,,CHEMBL300907,5.46,=,1,=,IC50,nM,3500.0,IC50,nM,3500.0
CHEMBL766816,COC(=O)Cc1ccc(-n2cc(C3CCN(CCN4CCNC4=O)CC3)c3cc(Cl)ccc32)cc1,,CHEMBL415944,6.88,=,1,=,IC50,nM,131.0,IC50,nM,131.0
CHEMBL766816,CS(=O)(=O)Nc1ccc2c(c1)C(O)CC1(CCN(C3CCc4cc(C#N)ccc4C3)CC1)O2,,CHEMBL52627,7.47,=,1,=,IC50,nM,34.0,IC50,nM,34.0
CHEMBL766816,CC(C)(O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,,CHEMBL52832,6.34,=,1,=,IC50,nM,460.0,IC50,nM,460.0
CHEMBL766816,COC(=O)c1ccc(-n2cc(C3CCN(CCN4CCNC4=O)CC3)c3cc(Cl)ccc32)cc1,,CHEMBL52999,7.44,=,1,=,IC50,nM,36.0,IC50,nM,36.0
CHEMBL766816,Fc1ccc(-n2cc(C3CCNCC3)c3cc(Cl)ccc32)cc1,,CHEMBL273235,6.69,=,1,=,IC50,nM,204.0,IC50,nM,204.0
CHEMBL766816,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,,CHEMBL12713,8.52,=,1,=,IC50,nM,3.0,IC50,nM,3.0
CHEMBL766816,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,,CHEMBL1423,7.75,=,1,=,IC50,nM,18.0,IC50,nM,18.0
CHEMBL768686,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,,CHEMBL1729,7.33,=,1,=,IC50,nM,47.0,IC50,nM,47.0
CHEMBL768686,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,,CHEMBL12713,8.52,=,1,=,IC50,nM,3.0,IC50,nM,3.0
